Sno,Movie_Name,Director_Name,Director_1,Director_2,Duration,Year,Ratings,Metascore
126,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,Richard Marquand,,131 min,1983,8.3,58
127,Ready or Not (I),"Matt Bettinelli-Olpin, Tyler Gillett",Matt Bettinelli-Olpin,Tyler Gillett,95 min,2019,6.8,64
128,Baywatch,Seth Gordon,Seth Gordon,,116 min,2017,5.5,37
129,Suicide Squad,David Ayer,David Ayer,,123 min,2016,5.9,40
130,Uncharted,Ruben Fleischer,Ruben Fleischer,,116 min,2022,6.3,45
131,1917,Sam Mendes,Sam Mendes,,119 min,2019,8.2,78
132,The Dark Knight Rises,Christopher Nolan,Christopher Nolan,,164 min,2012,8.4,78
133,The Avengers,Joss Whedon,Joss Whedon,,143 min,2012,8.0,69
134,Star Wars: Episode IX - The Rise of Skywalker,J.J. Abrams,J.J. Abrams,,141 min,2019,6.5,53
135,Lone Survivor,Peter Berg,Peter Berg,,121 min,2013,7.5,60
136,Clash of the Titans,Desmond Davis,Desmond Davis,,118 min,1981,6.9,59
137,The Terminator,James Cameron,James Cameron,,107 min,1984,8.1,84
138,Venom,Ruben Fleischer,Ruben Fleischer,,112 min,2018,6.6,35
139,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,J.J. Abrams,,138 min,2015,7.8,80
140,Iron Man,Jon Favreau,Jon Favreau,,126 min,2008,7.9,79
141,Game Night (I),"John Francis Daley, Jonathan Goldstein",John Francis Daley,Jonathan Goldstein,100 min,2018,6.9,66
142,Zack Snyder's Justice League,Zack Snyder,Zack Snyder,,242 min,2021,8.0,54
143,The King's Man,Matthew Vaughn,Matthew Vaughn,,131 min,2021,6.3,44
144,Jumanji: Welcome to the Jungle,Jake Kasdan,Jake Kasdan,,119 min,2017,6.9,58
145,Terminator 2: Judgment Day,James Cameron,James Cameron,,137 min,1991,8.6,75
146,Twister (I),Jan de Bont,Jan de Bont,,113 min,1996,6.4,68
147,Batman,Tim Burton,Tim Burton,,126 min,1989,7.5,69
148,The Matrix Resurrections (I),Lana Wachowski,Lana Wachowski,,148 min,2021,5.7,63
149,Baby Driver,Edgar Wright,Edgar Wright,,113 min,2017,7.6,86
150,The Hunt (II),Craig Zobel,Craig Zobel,,90 min,2020,6.5,50
151,Star Trek,J.J. Abrams,J.J. Abrams,,127 min,2009,7.9,82
152,Star Wars: Episode III - Revenge of the Sith,George Lucas,George Lucas,,140 min,2005,7.6,68
153,Deadpool 2,David Leitch,David Leitch,,119 min,2018,7.6,66
154,Aliens,James Cameron,James Cameron,,137 min,1986,8.4,84
155,The Great Wall (I),Yimou Zhang,Yimou Zhang,,103 min,2016,5.9,42
156,Kingsman: The Golden Circle,Matthew Vaughn,Matthew Vaughn,,141 min,2017,6.7,44
157,Apocalypto,Mel Gibson,Mel Gibson,,139 min,2006,7.8,68
